StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Consent,A1,A2,A3,A3_6_TEXT,A3_7_TEXT,A4,A5,state,A6,A7,B8_1,B8_2,B8_3,B8_4,B8_5,B8_6,B8_7,B8_8,B8_9,B8_10,B8_11,B8_12,B8_13,B8_14,B8_15,B8_16,B8_17,B8_18,B8_19,B8_20,B9_1,B9_2,B9_3,B9_4,B9_5,B9_6,B10_1,B11,B12,Attn1,B13_1,B13_2,B13_3,B13_4,B13_5,B13_6,B13_7,B13_8,B13_9,B13_10,B13_11,B13_12,B13_13,B13_14,B13_15,B13_16,B13_17,B14_1,B14_2,B14_3,CFilt,C15,C16,C16_6_TEXT,C17_1,C17_2,C17_3,C17_4,C17_5,C17_6,C17_7,C18,C19,C20,C21,C22,C23,C23_6_TEXT,C24_1,C24_2,C24_3,C24_4,C24_5,C24_6,C24_7,C25,C26,C27,C28,C29,C30,C30_6_TEXT,C31_1,C31_2,C31_3,C31_4,C31_5,C31_6,C31_7,C32,C33,C34,C35,Attn2,D36,D37,D38_1,D38_2,D38_3,D38_4,D38_5,D38_6,D38_7,D38_8,D39_1,D39_2,D39_3,D39_4,D39_5,D39_6,D39_7,D39_8,D39_9,D39_10,D39_11,D39_12,D39_13,D39_14,D39_15,D39_16,D39_17,D39_18,D39_19,D39_20,D39_21,D39_22,D40_1,D40_2,D40_3,D40_4,D40_5,D40_6,D40_7,D40_8,D40_9,D40_10,D40_11,D40_12,E41,E42_1,E42_2,E43_1,E43_2,E43_3,E44_1,E44_2,E44_3,E44_4,E44_5,E44_6,E45_1,E45_2,E45_3,E45_4,E46_1,E46_2,E46_3,E46_4,E46_5,E46_6,E46_7,E47_1,E47_2,E47_3,E48,E49,E50_1,E50_2,E51_1,E51_2,E51_3,E51_4,E51_5,E51_6,G52_1,G52_2,G52_3,G52_4,G53_1,G53_2,G53_3,G54,G55,G55_4_TEXT,G56a,G56b,G57,G58,G59,SC0,opp,RISN,rid,V,cintid,ProjectToken,Q_RelevantIDDuplicate,Q_BallotBoxStuffing,Q_RecaptchaScore,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_TotalDuration,gc,term,score,region,LS,G54_N,Name_1,Name_2,Name-3
5/5/21 10:19,5/5/21 11:05,IP Address,100,2774,TRUE,5/5/21 11:06,R_2X0xML6l7EMS2cq,anonymous,EN,I agree to participate in the research study described above.,72,Female,Hispanic or Latino,,,High school diploma,"$60,001 to $75,000",Texas,Yes,10-30 minutes per day,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Some,A lot,Some,A little,A lot,Some,2,A little,Sometimes,Dog,Neither trust nor distrust,Distrust very much,Distrust very much,Neither trust nor distrust,Neither trust nor distrust,Somewhat trust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Trust very much,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Somewhat agree,Somewhat agree,Neither agree nor disagree,Yes,JC,Friend,,"No, never","No, never","No, never","No, never","No, never","No, never","No, never",Very different,A little,Like somewhat,A,JB,Friend,,"Yes, occasionally","No, never","Yes, occasionally","No, never","Yes, often","Yes, occasionally","Yes, occasionally",Very different,None at all,Like somewhat,A,AB,Coworker or classmate,,"Yes, occasionally","Yes, occasionally","Yes, occasionally","No, never","Yes, often","Yes, often","Yes, often",Very similar,A moderate amount,Like a great deal,C,2021,Between 151 and 500,Between 6 and 10,Most,Most,A few,A few,Many,A lot,Many,A few,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,A great deal,None at all,None at all,A little,Some,Some,A little,A great deal,A lot,A lot,A little,Some,Once or twice a day,Several times a day,Several times a month,Sometimes,Rarely,Sometimes,Several times a day,Several times a day,Never,Several times a day,Never,Several times a week,Several times a day,Several times a day,Several times a day,Several times a week,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Yes,Yes,Yes,Never,None,Never,Never,Never,Never,Rarely,Never,Never,Never,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Interested,Somewhat interested,Somewhat interested,Neither liberal nor conservative,Democrat,,Strong,,Kamala Harris,Don't know,Don't know,3,Qual1827-0626Rep,11120900,6092c5a4-8c05-3fa4-713b-8c211012a686,,,,,,,,,2774,1,,3,south,168,6,1,1,1
5/5/21 10:38,5/5/21 11:50,IP Address,100,4358,TRUE,5/5/21 11:50,R_1rNyShfGcJHtS7G,anonymous,EN,I agree to participate in the research study described above.,31,Male,Hispanic or Latino,,,Some college,"$45,001 to $60,000",Texas,Yes,1-2 hours per day,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,A little,Some,Some,A lot,Some,Not at all,1,None at all,Never,Dog,Somewhat trust,Distrust very much,Distrust very much,Distrust very much,Distrust very much,Distrust very much,Distrust very much,Distrust very much,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Somewhat trust,Neither trust nor distrust,Distrust very much,Distrust very much,Distrust very much,Trust very much,Strongly agree,Strongly agree,Strongly disagree,Yes,CM,Friend,,"Yes, occasionally","Yes, often","Yes, occasionally","No, never","No, never","No, never","No, never",Very different,A moderate amount,Neither like nor dislike,C,JH,Acquaintance,,"No, never","Yes, occasionally","No, never","No, never","Yes, occasionally","No, never","No, never",Very similar,A moderate amount,Like somewhat,D,MM,Other,SPOUSE,"No, never","No, never","No, never","No, never","No, never","No, never","No, never",Very similar,A moderate amount,Like a great deal,A,2021,Between 151 and 500,Between 6 and 10,Most,Many,A lot,A few,None,None,None,None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,A great deal,None at all,A lot,Some,A great deal,Some,A great deal,Some,A great deal,A great deal,Some,Some,Never,Several times a week,Several times a week,Sometimes,Sometimes,Sometimes,Several times a week,Several times a week,Several times a week,Several times a week,Several times a week,Several times a week,Several times a week,Several times a week,Several times a week,Several times a week,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,No,No,No,Very frequently,Many,Occassionally,Occassionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat interested,Somewhat interested,Somewhat interested,Very liberal,Democrat,,Strong,,Joe Biden,Democrat,Executive branch,3,Qual1827-0626Rep,11120900,6092ca05-7f4c-4c88-fae2-117074380bce,,,,,,,,,4358,1,,3,south,168,1,1,1,1
5/5/21 10:39,5/5/21 10:51,IP Address,100,713,TRUE,5/5/21 10:51,R_vUY5H3D45RWrymJ,anonymous,EN,I agree to participate in the research study described above.,78,Male,White,,,Post-graduate degree,"$60,001 to $75,000",Georgia,No,,,,,,,,,,,,,,,,,,,,,,Some,Some,Not at all,Not at all,Not at all,Not at all,4,A moderate amount,Sometimes,Dog,Somewhat trust,Somewhat trust,Somewhat distrust,Somewhat trust,Neither trust nor distrust,Neither trust nor distrust,Somewhat distrust,Distrust very much,Neither trust nor distrust,Somewhat trust,Somewhat trust,Neither trust nor distrust,Somewhat trust,Neither trust nor distrust,Somewhat trust,Somewhat trust,Trust very much,Somewhat agree,Somewhat agree,Neither agree nor disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Several times a month,Never,Never,Several times a week,Never,Never,Several times a month,Several times a month,Several times a month,Several times a month,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,,,,,,,,Never,Never,Occasionally,Never,Never,Never,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat interested,Somewhat interested,A little bit interested,Neither liberal nor conservative,Independent,,,Neither,Kamala Harris,Republican,Judicial branch,3,Qual1827-0626Rep,11120900,6092ca63-03fd-ef47-c2aa-e6975f9acc61,,,,,,,,,713,1,,3,south,168,6,0,0,0
5/5/21 11:48,5/5/21 11:55,IP Address,100,435,TRUE,5/5/21 11:55,R_27WLrnZ2CB3wxZf,anonymous,EN,I agree to participate in the research study described above.,32,Female,Hispanic or Latino,,,High school diploma,"$45,001 to $60,000",Michigan,No,,,,,,,,,,,,,,,,,,,,,,Some,Some,Some,Some,Some,Some,,A little,About half the time,Dog,Somewhat trust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Distrust very much,Somewhat distrust,Somewhat trust,Somewhat trust,Somewhat trust,Distrust very much,Somewhat trust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Once or twice a day,Once or twice a day,Several times a month,Several times a week,Several times a month,Several times a month,Several times a month,Never,Several times a month,Several times a month,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Strongly disagree,,,,,,,,Occasionally,Occasionally,Occasionally,Rarely,Never,Never,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat interested,Not at all interested,A little bit interested,-,Democrat,,Not that strong,,Kamala Harris,Don't know,Don't know,2,Qual1827-0626Rep,11120900,6092da1a-1d9b-1e2a-cf49-305ed7c0ed22,,,,,,,,,435,1,,2,midwest,168,5,0,0,0
5/5/21 11:47,5/5/21 12:08,IP Address,100,1247,TRUE,5/5/21 12:08,R_3F2ou2FNrMmgv4n,anonymous,EN,I agree to participate in the research study described above.,44,Female,White,,,High school diploma,"Less than $15,000",Connecticut,Yes,More than 3 hours per day,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,A little,A little,Some,Some,Some,Not at all,4,A moderate amount,About half the time,Dog,Somewhat trust,Somewhat trust,Somewhat trust,Somewhat trust,Neither trust nor distrust,Somewhat trust,Neither trust nor distrust,Neither trust nor distrust,Somewhat trust,Somewhat trust,Somewhat trust,Neither trust nor distrust,Somewhat distrust,Somewhat distrust,Somewhat distrust,Neither trust nor distrust,Somewhat trust,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Yes,waterbury observer,Friend,,"Yes, often","Yes, occasionally","Yes, often","Yes, often","Yes, often","Yes, often","Yes, often",Somewhat similar,A lot,Like a great deal,A,kary12,Friend,,"Yes, occasionally","Yes, occasionally","Yes, occasionally","Yes, occasionally","Yes, occasionally","Yes, occasionally","Yes, occasionally",Somewhat similar,A lot,Like somewhat,B,no,Friend,,"Yes, occasionally","Yes, occasionally","Yes, occasionally","Yes, occasionally","Yes, occasionally","Yes, occasionally","Yes, occasionally",Neither similar nor different,A moderate amount,Neither like nor dislike,A,2021,"Between 1,001 and 2,000",Between 11 and 25,A few,A few,A lot,A few,Many,A lot,A lot,Many,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,A little,A little,A little,A little,A little,A little,A little,A little,A little,A little,A little,A little,Several times a month,Several times a month,Several times a month,Rarely,Rarely,Rarely,Several times a month,Several times a week,Several times a week,Several times a week,Several times a week,Several times a month,Several times a week,Several times a month,Several times a week,Several times a month,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,No,No,Yes,Rarely,One or two,Rarely,Rarely,Occasionally,Rarely,Occasionally,Rarely,Rarely,Rarely,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat interested,A little bit interested,Somewhat interested,Very liberal,Democrat,,Not that strong,,Kamala Harris,Democrat,Don't know,1,Qual1827-0626Rep,11120900,6092da37-ef7f-ce03-ee67-d301826d641e,,,,,,,,,1247,1,,1,northeast,168,1,0,0,0
5/5/21 12:00,5/5/21 12:08,IP Address,100,473,TRUE,5/5/21 12:08,R_2B2uPNveXyFqbf0,anonymous,EN,I agree to participate in the research study described above.,47,Female,Asian/Black or African American,,,College degree,"$15,001 to $30,000",Michigan,Yes,Less than 10 minutes per day,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Some,Some,Some,Some,Some,Some,,A little,Sometimes,Dog,Trust very much,Neither trust nor distrust,Neither trust nor distrust,Somewhat distrust,Distrust very much,Somewhat distrust,Somewhat distrust,Somewhat distrust,Somewhat distrust,Somewhat trust,Neither trust nor distrust,Somewhat trust,Somewhat distrust,Somewhat distrust,Somewhat distrust,Somewhat trust,Somewhat distrust,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,50 or fewer,5 or fewer,A few,A few,A few,A few,A few,A few,A few,A few,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,None at all,A little,None at all,None at all,None at all,None at all,Some,None at all,Some,A little,Some,Some,Never,Several times a week,Several times a week,Sometimes,Rarely,Rarely,Several times a month,Several times a month,Several times a month,Several times a month,Several times a month,Several times a month,Several times a month,Several times a month,Several times a month,Several times a month,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,No,No,No,Never,None,Never,Never,Never,Never,Never,Never,Never,Never,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Not at all interested,Not at all interested,A little bit interested,-,Independent,,,Closer to the Democratic Party,Kamala Harris,Democrat,Don't know,2,Qual1827-0626Rep,11120900,6092dd13-b095-0d9c-cb1b-d1a65d78ba9b,,,,,,,,,473,1,,2,midwest,168,3,0,0,0
5/5/21 12:18,5/5/21 12:46,IP Address,100,1674,TRUE,5/5/21 12:46,R_afoNU9gYyLUWf7P,anonymous,EN,I agree to participate in the research study described above.,44,Male,Hispanic or Latino,,,College degree,"$100,001 to $150,000",Florida,Yes,1-2 hours per day,Somewhat disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly agree,A lot,Some,Some,Not at all,Some,A lot,3,A little,Sometimes,Dog,Somewhat trust,Distrust very much,Trust very much,Distrust very much,Somewhat distrust,Somewhat trust,Distrust very much,Distrust very much,Distrust very much,Trust very much,Neither trust nor distrust,Trust very much,Somewhat trust,Somewhat distrust,Distrust very much,Somewhat trust,Somewhat distrust,Strongly agree,Strongly agree,Strongly disagree,Yes,Chico,Friend,,"Yes, occasionally","No, never","No, never","No, never","No, never","No, never","No, never",Somewhat similar,A lot,Like somewhat,E,Clara,Family member,,"No, never","No, never","No, never","No, never","No, never","No, never","No, never",Very different,None at all,Neither like nor dislike,C,Lobo,Friend,,"No, never","No, never","No, never","No, never","No, never","No, never","No, never",Somewhat similar,A great deal,Like a great deal,F,2021,50 or fewer,Between 6 and 10,A few,A few,Many,None,None,None,None,None,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Some,A little,A lot,A little,A little,A great deal,A little,A great deal,Some,Some,Some,Some,Several times a month,Several times a day,Once or twice a day,Sometimes,Often,Sometimes,Several times a week,Several times a week,Never,Several times a week,Never,Never,Several times a month,Several times a month,Several times a month,Never,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,No,No,No,Occassionally,Several,Rarely,Frequently,Rarely,Occasionally,Rarely,Rarely,Never,Never,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Somewhat interested,Somewhat interested,Very interested,-,Republican,,Strong,,Kamala Harris,Democrat,Judicial branch,3,Qual1827-0626Rep,11120900,6092e123-2581-d9cb-94d3-b222ef97140e,,,,,,,,,1674,1,,3,south,168,9,1,1,1
5/5/21 12:26,5/5/21 12:33,IP Address,100,456,TRUE,5/5/21 12:33,R_1o6d2ZJUFb3cwIB,anonymous,EN,I agree to participate in the research study described above.,30,Female,White,,,High school diploma,"$60,001 to $75,000",New York,No,,,,,,,,,,,,,,,,,,,,,,A lot,A lot,A lot,A lot,A lot,A lot,2,A little,Sometimes,Dog,Neither trust nor distrust,Somewhat trust,Somewhat trust,Neither trust nor distrust,Somewhat trust,Somewhat trust,Somewhat distrust,Somewhat trust,Neither trust nor distrust,Trust very much,Trust very much,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Somewhat trust,Neither trust nor distrust,Neither trust nor distrust,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Several times a month,Several times a month,Never,Several times a month,Several times a week,Several times a month,Several times a month,Several times a month,Several times a week,Several times a month,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly agree,,,,,,,,Occasionally,Occasionally,Frequently,Occasionally,Frequently,Occasionally,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,A little bit interested,Not at all interested,Interested,Neither liberal nor conservative,Democrat,,Strong,,Joe Biden,Democrat,Don't know,1,Qual1827-0626Rep,11120900,6092e34b-2b58-8ae3-287b-f504eeb1496c,,,,,,,,,456,1,,1,northeast,168,6,0,0,0
5/5/21 12:28,5/5/21 12:34,IP Address,100,397,TRUE,5/5/21 12:34,R_2zJaCnuKGJGXRlW,anonymous,EN,I agree to participate in the research study described above.,38,Female,Asian/Black or African American,,,Post-graduate degree,"$45,001 to $60,000",Georgia,Yes,10-30 minutes per day,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,A lot,A lot,Some,Some,Some,A great deal,,A great deal,Always,Dog,Somewhat trust,Somewhat trust,Trust very much,Somewhat trust,Somewhat trust,Somewhat trust,Somewhat trust,Neither trust nor distrust,Somewhat distrust,Somewhat trust,Somewhat trust,Somewhat trust,Somewhat trust,Somewhat trust,Somewhat trust,Somewhat trust,Somewhat trust,Somewhat agree,Neither agree nor disagree,Somewhat agree,Yes,12,Friend,,"Yes, occasionally","Yes, often","Yes, occasionally","No, never","Yes, often","No, never","Yes, occasionally",Somewhat similar,A lot,Like somewhat,C,instagram ,Coworker or classmate,,"Yes, occasionally","Yes, occasionally","Yes, often","Yes, occasionally","Yes, occasionally","Yes, often","Yes, often",Very similar,A lot,Neither like nor dislike,A,no,Neighbor,,"Yes, occasionally","Yes, often","Yes, occasionally","Yes, often","Yes, often","Yes, occasionally","Yes, often",Very similar,A lot,Neither like nor dislike,A,2021,Between 51 and 150,Between 6 and 10,A lot,Many,A few,Many,Many,A lot,Most,Many,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Some,A lot,Some,A lot,Some,Some,Some,A lot,A great deal,A great deal,Some,A little,Once or twice a day,Once or twice a day,Once or twice a day,Never,Often,Often,Once or twice a day,Several times a week,Once or twice a day,Several times a day,Several times a day,Several times a week,Once or twice a day,Several times a day,Several times a week,Once or twice a day,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Yes,Yes,Yes,Occassionally,Several,Frequently,Occassionally,Occasionally,Occasionally,Rarely,Very frequently,Very frequently,Very frequently,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Very interested,Very interested,Somewhat interested,Very conservative,Democrat,,Strong,,Joe Biden,Democrat,Judicial branch,3,Qual1827-0626Rep,11120900,6092e3cc-6d09-e8d3-944f-04a17ea663de,,,,,,,,,397,1,,3,south,168,11,0,0,0
5/5/21 12:39,5/5/21 12:46,IP Address,100,410,TRUE,5/5/21 12:46,R_2A0xBA3ydJLH3Nt,anonymous,EN,I agree to participate in the research study described above.,30,Male,Hispanic or Latino,,,Some post-graduate education,"$75,001 to $100,000",Colorado,Yes,31-60 minutes per day,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,A great deal,A lot,A lot,A great deal,A lot,A great deal,7,A great deal,Always,Dog,Trust very much,Trust very much,Somewhat trust,Trust very much,Trust very much,Somewhat trust,Somewhat trust,Trust very much,Somewhat trust,Trust very much,Somewhat trust,Somewhat trust,Trust very much,Trust very much,Trust very much,Somewhat trust,Trust very much,Strongly agree,Somewhat agree,Strongly agree,Yes,Dfgh,Family member,,"Yes, often","Yes, occasionally","Yes, often","Yes, occasionally","Yes, often","Yes, often","Yes, often",Very similar,A great deal,Like a great deal,C,Gguu,Family member,,"Yes, often","Yes, occasionally","Yes, often","Yes, often","Yes, occasionally","Yes, often","Yes, occasionally",Very similar,A great deal,Like a great deal,A,Ghhj,Family member,,"Yes, often","Yes, often","Yes, occasionally","Yes, often","Yes, often","Yes, often","Yes, often",Very similar,A great deal,Like a great deal,D,2021,Between 151 and 500,Between 11 and 25,Many,A lot,Most,Most,Many,Most,Most,Most,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,A lot,Some,A lot,Some,A lot,A lot,A lot,Some,A lot,A lot,A lot,A lot,Several times a day,Several times a day,Several times a day,Very often,Often,Very often,Several times a day,Once or twice a day,Several times a day,Several times a day,Several times a day,Several times a day,Several times a day,Several times a day,Several times a day,Several times a day,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Yes,Yes,Yes,Very frequently,Quite a few,Very frequently,Frequently,Very frequently,Frequently,Very frequently,Frequently,Very frequently,Frequently,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Very interested,Very interested,Very interested,Very liberal,Democrat,,Strong,,Joe Biden,Democrat,Executive branch,4,Qual1827-0626Rep,11120900,6092e635-b961-96e1-ba35-007df5d59056,,,,,,,,,410,1,,4,west,168,1,0,0,0
5/5/21 12:39,5/5/21 12:59,IP Address,100,1186,TRUE,5/5/21 12:59,R_3PoXoYd4MEBR1Rg,anonymous,EN,I agree to participate in the research study described above.,21,Male,Hispanic or Latino,,,Some college,"Less than $15,000",Florida,Yes,10-30 minutes per day,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,A little,Not at all,Not at all,Some,A lot,Some,4,None at all,About half the time,Dog,Somewhat trust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Somewhat distrust,Somewhat distrust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Yes,No trusting,Neighbor,,"Yes, occasionally","Yes, occasionally","Yes, occasionally","No, never","Yes, occasionally","Yes, occasionally","No, never",Neither similar nor different,A moderate amount,Neither like nor dislike,B,Trump,Family member,,"No, never","No, never","No, never","No, never","No, never","No, never","No, never",Very different,None at all,Dislike a great deal,A,Gaming,Friend,,"Yes, occasionally","Yes, occasionally","Yes, often","Yes, occasionally","Yes, often","Yes, occasionally","No, never",Very similar,A great deal,Like a great deal,G,2021,50 or fewer,Between 6 and 10,A few,None,A few,A lot,Many,None,Many,Most,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,A little,A little,A little,A little,Some,A little,A little,A little,Some,A little,None at all,None at all,Never,Several times a month,Several times a month,Rarely,Rarely,Rarely,Several times a month,Several times a month,Several times a month,Several times a month,Several times a month,Several times a month,Several times a month,Several times a month,Several times a month,Several times a month,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,No,Yes,No,Rarely,One or two,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,A little bit interested,A little bit interested,A little bit interested,Very liberal,Independent,,,Neither,Don't know,Don't know,Don't know,3,Qual1827-0626Rep,11120900,6092e65d-c32b-c41e-f7c7-3adf6568308b,,,,,,,,,1186,1,,3,south,168,1,0,0,0
